prodcode,ingredient,productname,bnftext,formulation,routeofadministration,bnfchapter,strength,systemic,photo,biologic
46152,methotrexate sodium,methotrexate 12.5mg/0.25ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46156,methotrexate sodium,methotrexate 17.5mg/0.35ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46197,methotrexate sodium,metoject 22.5mg/0.45ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intramuscular/subcutaneous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46265,methotrexate sodium,metoject 17.5mg/0.35ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intravenous/subcutaneous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
46309,ustekinumab,ustekinumab 45mg/0.5ml injection solution,drugs affecting the immune response for eczema and psoriasis,injection solution,subcutaneous injection,13050300,45mg/0.5ml,,,1
46395,ciclosporin,capimune 100mg capsules (mylan),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
46407,methotrexate sodium,methotrexate 1g/40ml solution for injection vials,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intraarterial/intravenous,01050300/08010300/13050300,25mg/1ml,1,,
46637,ciclosporin,capimune 25mg capsules (mylan),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
47042,ciclosporin,ciclosporin 100mg capsule (hillcross pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/corticosteroids and other immunosuppressants,capsule,oral,01050300/08020200,100mg,1,,
47047,ciclosporin,capsorin 50mg capsules (morningside healthcare ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
47102,ciclosporin,capimune 50mg capsules (mylan),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
47127,hydroxycarbamide,hydroxycarbamide 100mg tablets,"cytotoxic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",tablet,oral,08010000/09010300,100mg,1,,
47192,ciclosporin,capsorin 100mg capsules (morningside healthcare ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
47377,ciclosporin,ciclosporin 25mg capsule (hillcross pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/corticosteroids and other immunosuppressants,capsule,oral,01050300/08020200,25mg,1,,
47471,ciclosporin,capsorin 25mg capsules (morningside healthcare ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
47843,etanercept,etanercept 10mg powder and solvent for solution for injection vials,unknown,powder and solvent for solution for injection,subcutaneous,00000000,10mg,,,1
48556,ciclosporin,ciclosporin 100mg capsules (phoenix healthcare distribution ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
48660,adalimumab,adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices,cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
48763,ciclosporin,ciclosporin 25mg capsules (phoenix healthcare distribution ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
48798,ciclosporin,ciclosporin 50mg capsules (phoenix healthcare distribution ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
49547,methotrexate sodium,methotrexate 5g/200ml solution for infusion vials,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for infusion,intramuscular/intraarterial/intravenous,01050300/08010300/13050300,25mg/1ml,1,,
49856,etanercept,enbrel 50mg/1ml solution for injection pre-filled syringes (pfizer ltd),drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010300/13050350,50mg/1ml,,,1
49951,methotrexate,methotrexate 2.5mg tablets (sandoz ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
49958,ciclosporin,neoral 25mg capsules (de pharmaceuticals),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
50121,adalimumab,humira 40mg/0.8ml solution for injection pre-filled pen (abbvie ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
50494,etanercept,etanercept 50mg/1ml solution for injection pre-filled disposable devices,drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010300/13050350,50mg/1ml,,,1
50565,hydroxycarbamide,hydroxycarbamide 300mg capsules,"other antineoplastic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",capsule,oral,08010500/09010300,300mg,1,,
50950,methotrexate,metoject 30mg/0.6ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intramuscular/subcutaneous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
50996,adalimumab,adalimumab 40mg/0.8ml solution for injection pre-filled syringes,cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
50998,etanercept,etanercept 50mg/1ml solution for injection pre-filled syringes,drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010300/13050350,50mg/1ml,,,1
51120,methotrexate,methotrexate 2.5mg tablets (alliance healthcare (distribution) ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
51321,methotrexate sodium,methotrexate 50mg/2ml solution for injection vials,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intrathecal/intraventricular cardiac/intraarterial/intramuscular/intravenous,01050300/08010300/13050300,25mg/1ml,1,,
51667,methotrexate sodium,methotrexate 200mg/8ml solution for injection vials,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intrathecal/intraarterial/intravenous,01050300/08010300/13050300,25mg/1ml,1,,
52606,methotrexate,methotrexate 2.5mg tablets (sigma pharmaceuticals plc),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
52615,ciclosporin,neoral 100mg capsules (sigma pharmaceuticals plc),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
52743,ciclosporin,ciclosporin 25mg capsules (sigma pharmaceuticals plc),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
52833,adalimumab,humira 40mg/0.8ml solution for injection pre-filled syringes (abbvie ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
53175,ciclosporin,neoral 25mg capsules (mawdsley-brooks & company ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
53176,ciclosporin,neoral 50mg capsules (de pharmaceuticals),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
53385,methotrexate,methotrexate 2.5mg tablets (waymade healthcare plc),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
53696,methotrexate sodium,methotrexate 50mg/2ml solution for injection vials (a a h pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intrathecal/intraventricular cardiac/intraarterial/intramuscular/intravenous,01050300/08010300/13050300,25mg/1ml,1,,
53756,acitretin,acitretin 10mg capsules (genus pharmaceuticals ltd),oral retinoids for psoriasis,capsule,oral,13050201,10mg,1,,
54134,ciclosporin,ciclosporin 100mg capsules (sigma pharmaceuticals plc),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
54485,ustekinumab,ustekinumab 45mg/0.5ml solution for injection pre-filled syringes,cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,90mg/1ml,,,1
54867,ciclosporin,ciclosporin 50mg capsules (sigma pharmaceuticals plc),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
54974,ciclosporin,ciclosporin 50mg capsules (cubic pharmaceuticals ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
54975,ciclosporin,ciclosporin 100mg capsules (cubic pharmaceuticals ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
55116,ciclosporin,ciclosporin 25mg capsules (cubic pharmaceuticals ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
56037,methotrexate,methotrexate 2.5mg tablets (a a h pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
56580,etanercept,etanercept 10mg powder and solvent for solution for injection vials,drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,powder and solvent for solution for injection,subcutaneous,10010300/13050350,10mg,,,1
56593,adalimumab,humira 40mg/0.8ml solution for injection vials (abbvie ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
56972,adalimumab,adalimumab 40mg/0.8ml solution for injection vials,cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
57103,methotrexate sodium,metoject 27.5mg/0.55ml solution for injection pre-filled syringes (medac uk),products affecting the immune response in chronic bowel problems/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intravenous/intramuscular,01050300/10010302/13050300,50mg/1ml,1,,
57174,methotrexate,methotrexate 10mg tablets (waymade healthcare plc),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
57441,methotrexate,methotrexate 10mg tablets (a a h pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
58174,ustekinumab,stelara 45mg/0.5ml solution for injection pre-filled syringes (janssen-cilag ltd),cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,90mg/1ml,,,1
58303,methotrexate,methotrexate 2.5mg tablets (orion pharma (uk) ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
58885,methotrexate,methotrexate 10mg tablets (sigma pharmaceuticals plc),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
58975,calcium monoethyl fumarate/dimethyl fumarate/magnesium monoethyl fumarate/zinc monoethyl fumarate,fumaric acid esters 105mg gastro resistant tablet,drugs affecting the immune response for eczema and psoriasis,tablet,,13050300,,1,,
59007,hydroxycarbamide,hydroxycarbamide 500mg capsules (a a h pharmaceuticals ltd),"other antineoplastic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",capsule,oral,08010500/09010300,500mg,1,,
59249,ciclosporin,ciclosporin 50mg capsules (colorama pharmaceuticals ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
59250,ciclosporin,ciclosporin 100mg capsules (colorama pharmaceuticals ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
59538,methotrexate,methotrexate 10mg tablets (teva uk ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
59685,methotrexate,methotrexate 2.5mg tablets (teva uk ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
59723,methotrexate,methotrexate 7.5mg/5ml oral solution,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral solution,oral,01050300/08010300/10010302/13050300,1.5mg/1ml,1,,
60979,methotrexate,methotrexate 2.5mg tablets (morningside healthcare ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
61050,methotrexate,metoject pen 10mg/0.2ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61081,methotrexate,methotrexate 12.5mg/0.25ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61082,methotrexate,methotrexate 22.5mg/0.45ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61085,methotrexate,methotrexate 2.5mg tablets (waymade healthcare plc),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
61122,methotrexate,methotrexate 25mg/0.5ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61137,methotrexate,methotrexate 17.5mg/0.35ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61140,methotrexate,methotrexate 20mg/0.4ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61151,methotrexate,methotrexate 10mg/0.2ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61169,methotrexate,metoject pen 25mg/0.5ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61171,methotrexate,metoject pen 15mg/0.3ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61172,methotrexate,methotrexate 7.5mg/0.15ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61178,methotrexate,metoject pen 7.5mg/0.15ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61180,methotrexate,metoject pen 20mg/0.4ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61181,methotrexate,metoject pen 17.5mg/0.35ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61211,methotrexate,metoject pen 12.5mg/0.25ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61273,methotrexate,methotrexate 15mg/0.3ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61373,etanercept,enbrel 50mg/1ml solution for injection pre-filled myclic pen (pfizer ltd),drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010300/13050350,50mg/1ml,,,1
61419,methotrexate,metoject pen 22.5mg/0.45ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61488,methotrexate,metoject pen 30mg/0.6ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
61796,methotrexate,methotrexate 30mg/0.6ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
62051,ciclosporin,ciclosporin 25mg capsules (niche pharma ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
62157,hydroxycarbamide,hydroxycarbamide 500mg/5ml oral suspension,"other antineoplastic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",oral suspension,oral,08010500/09010300,100mg/1ml,1,,
62421,methotrexate,metoject pen 27.5mg/0.55ml solution for injection pre-filled pen (medac uk),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
62753,methotrexate sodium,methotrexate 27.5mg/0.55ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intravenous/intramuscular,01050300/08010300/10010302/13050300,50mg/1ml,1,,
62833,methotrexate,methotrexate 2.5mg tablets (de pharmaceuticals),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
6333,hydroxycarbamide,hydroxycarbamide 500mg capsules,"other antineoplastic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",capsule,oral,08010500/09010300,500mg,1,,
63798,ciclosporin,ciclosporin 100mg capsules (a a h pharmaceuticals ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
64612,apremilast,apremilast 30mg tablets,drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,10010302/13050300,30mg,1,,
64626,apremilast,otezla 30mg tablets (celgene ltd),drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,10010302/13050300,30mg,1,,
64636,infliximab,inflectra 100mg powder for concentrate for solution for infusion vials (pfizer ltd),products affecting the immune response in chronic bowel problems/cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,powder for solution for infusion,intravenous,01050300/01050301/10010301/13050350,100mg,,,1
64857,ciclosporin,vanquoral 100mg capsules (teva uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
64858,ciclosporin,vanquoral 50mg capsules (teva uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,50mg,1,,
65463,hydroxycarbamide,siklos 1000mg tablets (masters pharmaceuticals ltd),"cytotoxic drugs/drugs used in hypoplastic, haemolytic, and renal anaemias",tablet,oral,08010000/09010300,1gram,1,,
65531,,otezla tablets treatment initiation pack (celgene ltd),drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,not applicable,route of administration not applicable,10010302/13050300,,1,,
65584,methotrexate sodium,methotrexate 2mg/ml oral solution sugar free,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral solution,oral,01050300/08010300/10010302/13050300,2mg/1ml,1,,
65639,ciclosporin,ciclosporin 100mg capsules (j m mcgill ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
66473,ciclosporin,vanquoral 25mg capsules (teva uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
