prodcode,ingredient,productname,bnftext,formulation,routeofadministration,bnfchapter,strength,systemic,photo,biologic
66487,methotrexate sodium,zlatal 12.5mg/0.5ml solution for injection pre-filled syringes (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
66774,etanercept,benepali 50mg/1ml solution for injection pre-filled syringes (biogen idec ltd),cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,50mg/1ml,,,1
66785,ciclosporin,vanquoral 10mg capsules (teva uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,10mg,1,,
67558,infliximab,remsima 100mg powder for concentrate for solution for infusion vials (napp pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,powder for solution for infusion,intravenous,01050300/01050301/10010301/13050350,100mg,,,1
67585,ustekinumab,stelara 45mg/0.5ml solution for injection (janssen-cilag ltd),drugs affecting the immune response for eczema and psoriasis,solution for injection,,13050300,45mg/0.5ml,,,1
67597,methotrexate sodium,methotrexate 25mg/ml injection (dupont pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/antimetabolites,injection,,01050300/08010300,25mg/ml,1,,
67917,secukinumab,secukinumab 150mg/1ml solution for injection pre-filled disposable devices,cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,150mg/1ml,,,1
67976,adalimumab,adalimumab 40mg/0.4ml solution for injection pre-filled disposable devices,cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,100mg/1ml,,,1
67983,ustekinumab,stelara 90mg/1ml solution for injection pre-filled syringes (janssen-cilag ltd),cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,90mg/1ml,,,1
68359,ustekinumab,ustekinumab 45mg/0.5ml solution for injection vials,cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,90mg/1ml,,,1
68383,ustekinumab,ustekinumab 90mg/1ml solution for injection pre-filled syringes,cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,90mg/1ml,,,1
68599,methotrexate sodium,methotrexate 500mg/20ml solution for injection vials (pfizer ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intraarterial/intravenous,01050300/08010300/13050300,25mg/1ml,1,,
68631,methotrexate sodium,methotrexate 5mg/2ml solution for injection vials (pfizer ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intraarterial/intrathecal/intramuscular,01050300/08010300/13050300,2.5mg/1ml,1,,
6882,adalimumab,adalimumab 40mg injection,products affecting the immune response in chronic bowel problems/cytokine modulators in rheumatic disease,injection,subcutaneous injection,01050300/10010301,40mg,,,1
68836,adalimumab,adalimumab 40mg/0.4ml solution for injection pre-filled syringes,cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,100mg/1ml,,,1
6884,hydroxycarbamide,hydrea 500mg capsules (bristol-myers squibb pharmaceuticals ltd),other antineoplastic drugs,capsule,oral,08010500,500mg,1,,
68904,secukinumab,secukinumab 150mg/1ml solution for injection pre-filled syringes,cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,150mg/1ml,,,1
68955,methotrexate,methotrexate 10mg tablets (sandoz ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
69500,etanercept,benepali 50mg/1ml solution for injection pre-filled pen (biogen idec ltd),cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,50mg/1ml,,,1
69527,adalimumab,humira 40mg/0.4ml solution for injection pre-filled pen (abbvie ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,100mg/1ml,,,1
69597,fumaric acid,fumaric acid 30mg tablets,preparations for psoriasis,tablet,oral,13050200,30mg,1,,
69639,methotrexate,methotrexate 7.5mg/0.3ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
69850,methotrexate,methotrexate 10mg/0.4ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
69928,methotrexate,methotrexate 12.5mg/0.5ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
70046,methotrexate,methotrexate 15mg/0.6ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
70059,methotrexate,methotrexate 25mg/1ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
70119,methotrexate,methotrexate 17.5mg/0.7ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
70171,ustekinumab,ustekinumab 130mg/26ml solution for infusion vials,cytokine modulators for chronic bowel problems,solution for infusion,intravenous,01050301,5mg/1ml,,,1
70351,secukinumab,cosentyx 150mg/1ml solution for injection pre-filled syringes (novartis pharmaceuticals uk ltd),cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,150mg/1ml,,,1
70379,methotrexate sodium,zlatal 10mg/0.4ml solution for injection pre-filled syringes (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
70411,methotrexate,methotrexate 20mg/0.8ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
70538,etanercept,benepali 25mg/0.5ml solution for injection pre-filled syringes (biogen idec ltd),cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,50mg/1ml,,,1
70674,methotrexate,nordimet 25mg/1ml solution for injection pre-filled pens (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
70736,methotrexate sodium,zlatal 7.5mg/0.3ml solution for injection pre-filled syringes (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
70977,methotrexate,methotrexate 12mg/5ml oral suspension,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral suspension,oral,01050300/08010300/10010302/13050300,2.4mg/1ml,1,,
71283,methotrexate,methotrexate 22.5mg/0.9ml solution for injection pre-filled disposable devices,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
71450,secukinumab,cosentyx 150mg/1ml solution for injection pre-filled syringes (novartis pharmaceuticals uk ltd),cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,150mg/1ml,,,1
71453,methotrexate,methofill 15mg/0.3ml solution for injection pre-filled injector (accord healthcare ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
71454,methotrexate sodium,zlatal 15mg/0.6ml solution for injection pre-filled syringes (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
71619,methotrexate,nordimet 17.5mg/0.7ml solution for injection pre-filled pens (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
71626,adalimumab,humira 40mg/0.4ml solution for injection pre-filled syringes (abbvie ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,100mg/1ml,,,1
7176,acitretin,acitretin 25mg capsules,oral retinoids for psoriasis,capsule,oral,13050201,25mg,1,,
7177,acitretin,acitretin 10mg capsules,oral retinoids for psoriasis,capsule,oral,13050201,10mg,1,,
71898,methotrexate,nordimet 20mg/0.8ml solution for injection pre-filled pens (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
71967,methotrexate,nordimet 15mg/0.6ml solution for injection pre-filled pens (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
72045,methotrexate,methotrexate 10mg tablets (morningside healthcare ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
72300,methotrexate,nordimet 12.5mg/0.5ml solution for injection pre-filled pens (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
72452,methotrexate,methofill 10mg/0.2ml solution for injection pre-filled injector (accord healthcare ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
72453,methotrexate,methofill 20mg/0.4ml solution for injection pre-filled injector (accord healthcare ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
72477,etanercept,etanercept 25mg/0.5ml solution for injection pre-filled disposable devices,drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010300/13050350,50mg/1ml,,,1
72486,methotrexate,nordimet 10mg/0.4ml solution for injection pre-filled pens (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
72495,methotrexate,nordimet 22.5mg/0.9ml solution for injection pre-filled pens (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
72496,methotrexate,nordimet 7.5mg/0.3ml solution for injection pre-filled pens (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,25mg/1ml,1,,
72795,adalimumab,adalimumab 20mg/0.2ml solution for injection pre-filled syringes,cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,100mg/1ml,,,1
73210,,generic otezla tablets treatment initiation pack,drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,not applicable,route of administration not applicable,10010302/13050300,,1,,
7336,methotrexate sodium,methotrexate 12.5mg/0.5ml solution for injection pre-filled syringes,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
7337,methotrexate sodium,methotrexate 10mg/0.4ml solution for injection pre-filled syringes,cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
73378,ustekinumab,stelara 130mg/26ml concentrate for solution for infusion vials (janssen-cilag ltd),cytokine modulators for chronic bowel problems,solution for infusion,intravenous,01050301,5mg/1ml,,,1
73401,methotrexate,methofill 7.5mg/0.15ml solution for injection pre-filled injector (accord healthcare ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
73434,methotrexate sodium,methotrexate 2mg/ml oral solution sugar free (rosemont pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral solution,oral,01050300/08010300/10010302/13050300,2mg/1ml,1,,
73486,methotrexate sodium,methotrexate 2.5mg/ml injection (dupont pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/antimetabolites,solution for injection,intravenous/intraarterial/intrathecal/intramuscular,01050300/08010300,2.5mg/1ml,1,,
73582,secukinumab,cosentyx 150mg/1ml solution for injection pre-filled pens (novartis pharmaceuticals uk ltd),cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010301/13050350,150mg/1ml,,,1
73677,methotrexate,methofill 25mg/0.5ml solution for injection pre-filled injector (accord healthcare ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
74593,methotrexate,methotrexate 25mg/5ml oral solution,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral solution,oral,01050300/08010300/10010302/13050300,5mg/1ml,1,,
75003,methotrexate sodium,methotrexate 5g/200ml solution for infusion vials (advanz pharma),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for infusion,intramuscular/intraarterial/intravenous,01050300/08010300/13050300,25mg/1ml,1,,
75300,adalimumab,amgevita 40mg/0.8ml solution for injection pre-filled syringes (amgen ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
75803,methotrexate,methofill 12.5mg/0.25ml solution for injection pre-filled injector (accord healthcare ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
75868,methotrexate,methofill 17.5mg/0.35ml solution for injection pre-filled injector (accord healthcare ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
75882,adalimumab,humira 20mg/0.2ml solution for injection pre-filled syringes (abbvie ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,100mg/1ml,,,1
75903,brodalumab,kyntheum 210mg/1.5ml solution for injection pre-filled syringes (leo pharma),cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,13050350,140mg/1ml,,,1
75975,ixekizumab,ixekizumab 80mg/1ml solution for injection pre-filled disposable devices,injection preparations for psoriasis,solution for injection,subcutaneous,13050203,80mg/1ml,,,1
76247,methotrexate sodium,zlatal 25mg/1ml solution for injection pre-filled syringes (nordic pharma ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous/intramuscular,08010000/10010302/13050300,25mg/1ml,1,,
76367,methotrexate,methotrexate 2.5mg tablets (almus pharmaceuticals ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
76369,methotrexate,methofill 22.5mg/0.45ml solution for injection pre-filled injector (accord healthcare ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
76397,adalimumab,imraldi 40mg/0.8ml solution for injection pre-filled syringes (biogen idec ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
76674,adalimumab,amgevita 20mg/0.4ml solution for injection pre-filled syringes (amgen ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
76716,adalimumab,adalimumab 20mg/0.4ml solution for injection pre-filled syringes,cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
76816,adalimumab,adalimumab 80mg/0.8ml solution for injection pre-filled syringes,cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,100mg/1ml,,,1
76831,guselkumab,guselkumab 100mg/1ml solution for injection pre-filled syringes,injection preparations for psoriasis,solution for injection,subcutaneous,13050203,100mg/1ml,,,1
77023,methotrexate sodium,methotrexate 25mg/3ml solution for injection pre-filled syringes,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intraarterial/intramuscular,01050300/08010300/10010302/13050300,8.333mg/1ml,1,,
77028,methotrexate sodium,methotrexate 50mg/2ml solution for injection pre-filled syringes,antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/intrathecal/intraarterial/intravenous,08010300/10010302/13050300,25mg/1ml,1,,
77558,methotrexate,methotrexate 10mg tablets (alliance healthcare (distribution) ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
77594,etanercept,enbrel paediatric 10mg powder and solvent for solution for injection vials (pfizer ltd),drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,powder and solvent for solution for injection,subcutaneous,10010300/13050350,10mg,,,1
77797,guselkumab,guselkumab 100mg/1ml solution for injection pre-filled disposable devices,injection preparations for psoriasis,solution for injection,subcutaneous,13050203,100mg/1ml,,,1
77842,adalimumab,imraldi 40mg/0.8ml solution for injection pre-filled pen (biogen idec ltd),cytokine modulators for chronic bowel problems/cytokine modulators in rheumatic disease/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,01050301/10010301/13050350,50mg/1ml,,,1
77888,etanercept,erelzi 50mg/1ml solution for injection pre-filled syringes (sandoz ltd),drugs that suppress the rheumatic disease process/cytokine modulators for eczema and psoriasis,solution for injection,subcutaneous,10010300/13050350,50mg/1ml,,,1
77901,methotrexate,methofill 27.5mg/0.55ml solution for injection pre-filled injector (accord healthcare ltd),cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,subcutaneous,08010000/10010302/13050300,50mg/1ml,1,,
78093,methotrexate sodium,jylamvo 2mg/ml oral solution (intrapharm laboratories ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,oral solution,oral,01050300/08010300/10010302/13050300,2mg/1ml,1,,
78297,methotrexate,methotrexate 10mg tablets (orion pharma (uk) ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
78717,apremilast,apremilast 10mg tablets,unknown,tablet,oral,00000000,10mg,1,,
78916,ciclosporin,neoral 100mg capsules (cst pharma ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
78945,hydroxycarbamide,hydroxycarbamide 500mg/5ml oral solution sugar free,other antineoplastic drugs,oral solution,oral,08010500,100mg/1ml,1,,
79144,guselkumab,tremfya 100mg/1ml solution for injection pre-filled syringes (janssen-cilag ltd),injection preparations for psoriasis,solution for injection,subcutaneous,13050203,100mg/1ml,,,1
79193,methotrexate,methotrexate oral solution,products affecting the immune response in chronic bowel problems/antimetabolites,oral solution,,01050300/08010300,,1,,
79194,methotrexate,methotrexate 10mg tablets (de pharmaceuticals),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
79422,methotrexate,methotrexate 10mg tablets (wockhardt uk ltd),products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
79557,methotrexate sodium,methofill 25mg/0.5ml solution for injection pre-filled syringes (accord healthcare ltd),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
79572,methotrexate sodium,methofill 15mg/0.3ml solution for injection pre-filled syringes (accord healthcare ltd),products affecting the immune response in chronic bowel problems/cytotoxic drugs/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,solution for injection,intramuscular/subcutaneous/intravenous,01050300/08010000/10010302/13050300,50mg/1ml,1,,
823,methotrexate,methotrexate 2.5mg tablets,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,2.5mg,1,,
8307,,spectraban ultra (uva spf 6 & uvb spf28) lot,unknown,,,00000000,,,1,
8327,methotrexate sodium,methotrexate 50mg/3ml injection,products affecting the immune response in chronic bowel problems/antimetabolites,injection,,01050300/08010300,50mg/3ml,1,,
8357,etretinate,etretinate 25mg capsule,preparations for psoriasis,capsule,oral,13050200,25mg,1,,
8358,etretinate,tigason 10mg capsule (roche products ltd),preparations for psoriasis,capsule,oral,13050200,10mg,1,,
8359,acitretin,neotigason 10mg capsule (roche products ltd),preparations for psoriasis,capsule,oral,13050200,10mg,1,,
8360,acitretin,neotigason 25mg capsule (roche products ltd),preparations for psoriasis,capsule,oral,13050200,25mg,1,,
8583,methotrexate sodium,methotrexate 25mg/ml injection,products affecting the immune response in chronic bowel problems/antimetabolites,injection,,01050300/08010300,25mg/ml,1,,
877,methotrexate,methotrexate 10mg tablets,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,tablet,oral,01050300/08010300/10010302/13050300,10mg,1,,
9528,methotrexate sodium,methotrexate 5mg/2ml solution for injection vials,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response for eczema and psoriasis,solution for injection,intravenous/intraarterial/intrathecal/intramuscular,01050300/08010300/13050300,2.5mg/1ml,1,,
972,ciclosporin,neoral 25mg capsules (novartis pharmaceuticals uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,25mg,1,,
973,ciclosporin,neoral 100mg capsules (novartis pharmaceuticals uk ltd),corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsule,oral,08020200/10010302/13050300,100mg,1,,
