prodcode,dmdcode,gemscriptcode,therapyevents,strength,bnfchapter,v12,v13,bnftext,productname,ingredient,formulation,routeofadministration,injection,sys_rx
53175,1.65619110000e+16,07439020,1,25mg,08020200/10010302/13050300,January 2013,07439020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 25mg capsules (mawdsley-brooks & company ltd),ciclosporin,capsule,oral,0,ciclosporin
32111,383711000001107,60981020,226,2.5mg,01050300/08010300/10010302/13050300,February 2009,03247009,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (hospira uk ltd),methotrexate,tablet,oral,0,methotrexate
52615,1.43447110000e+16,07444020,2,100mg,08020200/10010302/13050300,January 2013,07444020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 100mg capsules (sigma pharmaceuticals plc),ciclosporin,capsule,oral,0,ciclosporin
47102,1.76656110000e+16,99162020,540,50mg,08020200/10010302/13050300,May 2012,18225001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capimune 50mg capsules (generics (uk) ltd),ciclosporin,capsule,oral,0,ciclosporin
47042,2.03115001000e+17,77102020,10,100mg,01050300/08020200,April 2012,07755009,products affecting the immune response in chronic bowel problems/corticosteroids and other immunosuppressants,ciclosporin 100mg capsule (hillcross pharmaceuticals ltd),ciclosporin,capsule,oral,0,ciclosporin
47746,1.94298110000e+16,78624020,336,500mg,08020100,September 2012,08279009,antiproliferative immunosuppressants,mycophenolate motefil 500mg tablets (wockhardt uk ltd),mycophenolate mofetil,tablet,oral,0,mycophenolate
79083,6455001000027105,48811020,1,50mg,01050300/08020100,December 2019,00200009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,azathioprine 50mg tablet (celltech pharma europe ltd),azathioprine,tablet,oral,0,azathioprine
21889,,!4492101,8,,00000000,February 2009,!4492101,unknown,methotrexate 25mg/1ml,,,,0,methotrexate
49958,1.96179110000e+16,07441020,3,25mg,08020200/10010302/13050300,January 2013,07441020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 25mg capsules (de pharmaceuticals),ciclosporin,capsule,oral,0,ciclosporin
54867,2.12633110000e+16,44424020,28,50mg,08020200/10010302/13050300,May 2013,44424020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 50mg capsules (sigma pharmaceuticals plc),ciclosporin,capsule,oral,0,ciclosporin
53797,1.33867110000e+16,70152020,7,50mg,08020100,February 2013,05691009,antiproliferative immunosuppressants,azathioprine 50mg tablets (arrow generics ltd),azathioprine,tablet,oral,0,azathioprine
61160,1.37409110000e+16,66109020,0,50mg,01050300/08020100/10010302,September 2014,04568009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (tillomed laboratories ltd),azathioprine,tablet,oral,0,azathioprine
29340,178511000001107,55140020,875,50mg,08020100,February 2009,01788009,antiproliferative immunosuppressants,azathioprine 50mg tablets (ivax pharmaceuticals uk ltd),azathioprine,tablet,oral,0,azathioprine
74593,1.28169110000e+16,33018020,15,5mg/1ml,01050300/08010300/10010302/13050300,February 2019,33018020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 25mg/5ml oral solution,methotrexate,oral solution,oral,0,methotrexate
17035,8665711000001107,90161020,294,500microgram/1ml,01050300/08010300/10010302/13050300,February 2009,13672001,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg/5ml oral suspension,methotrexate,oral suspension,oral,0,methotrexate
48556,1.78570110000e+16,07447020,480,100mg,08020200/10010302/13050300,January 2013,07447020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 100mg capsules (phoenix healthcare distribution ltd),ciclosporin,capsule,oral,0,ciclosporin
72980,8284111000001107,19074020,50,5mg/1ml,01050300/08020100/10010302,September 2018,19074020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 25mg/5ml oral suspension,azathioprine,oral suspension,oral,0,azathioprine
47192,1.93769110000e+16,00118021,609,100mg,08020200/10010302/13050300,May 2012,18717001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsorin 100mg capsules (morningside healthcare ltd),ciclosporin,capsule,oral,0,ciclosporin
19072,2.11835001000e+17,79834020,149,50mg,01050300/08020100,February 2009,08784001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,oprisine 50mg tablet (opus pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
21753,322011000001106,64512020,3019,10mg,01050300/08010300/10010302/13050300,February 2009,04132002,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,maxtrex 10mg tablets (pfizer ltd),methotrexate,tablet,oral,0,methotrexate
45043,1.81639110000e+16,99231020,2337,500mg,08020100,April 2011,18261001,antiproliferative immunosuppressants,myfenax 500mg tablets (teva uk ltd),mycophenolate mofetil,tablet,oral,0,mycophenolate
59250,2.26040110000e+16,16770021,5,100mg,08020200/10010302/13050300,March 2014,16770021,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 100mg capsules (colorama pharmaceuticals ltd),ciclosporin,capsule,oral,0,ciclosporin
451,327071005,60179020,395500,25mg,01050300/08020100/10010302,February 2009,03065001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 25mg tablets,azathioprine,tablet,oral,0,azathioprine
18804,3661611000001102,81059020,29813,500mg,08020100,February 2009,09361002,antiproliferative immunosuppressants,cellcept 500mg tablets (roche products ltd),mycophenolate mofetil,tablet,oral,0,mycophenolate
75698,1.77900110000e+16,07423020,0,50mg,01050300/08020100/10010302,April 2019,07423020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (phoenix healthcare distribution ltd),azathioprine,tablet,oral,0,azathioprine
74812,1.65477110000e+16,07433020,46,25mg,08020100,February 2019,07433020,antiproliferative immunosuppressants,imuran 25mg tablets (stephar (u.k.) ltd),azathioprine,tablet,oral,0,azathioprine
57441,928011000001103,74399020,1,10mg,01050300/08010300/10010302/13050300,October 2013,06926009,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (a a h pharmaceuticals ltd),methotrexate,tablet,oral,0,methotrexate
34687,41911000001104,48820020,127,50mg,01050300/08020100/10010302,February 2009,00202009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (a a h pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
48798,1.78568110000e+16,07455020,571,50mg,08020200/10010302/13050300,January 2013,07455020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 50mg capsules (phoenix healthcare distribution ltd),ciclosporin,capsule,oral,0,ciclosporin
671,7.52650010000e+16,57632020,7219,25mg,01050300/08020100,February 2009,02404001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,imuran 25mg tablet (wellcome medical division),azathioprine,tablet,oral,0,azathioprine
41620,715511000001100,53510020,360,50mg,01050300/08020100/10010302,March 2010,01360009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (teva uk ltd),azathioprine,tablet,oral,0,azathioprine
36792,1.60359110000e+16,89877020,104,50mg/1ml,01050300/08020100/10010302,February 2009,13529001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 250mg/5ml oral solution,azathioprine,oral solution,oral,0,azathioprine
30780,3.46450010000e+16,52300020,48,2.5mg,01050300/08010300,February 2009,01040009,products affecting the immune response in chronic bowel problems/antimetabolites,methotrexate 2.5mg tablet (pharmacia ltd),methotrexate,tablet,oral,0,methotrexate
571,327070006,59745020,1433774,50mg,01050300/08020100/10010302,February 2009,02963001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets,azathioprine,tablet,oral,0,azathioprine
55858,2.43415001000e+17,91513020,2,,01050300/08020100,August 2013,14350001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,azathioprine oral solution,azathioprine,,,0,azathioprine
63798,1.65509110000e+16,07445020,0,100mg,08020200/10010302/13050300,July 2015,07445020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 100mg capsules (a a h pharmaceuticals ltd),ciclosporin,capsule,oral,0,ciclosporin
56037,201811000001107,74394020,0,2.5mg,01050300/08010300/10010302/13050300,August 2013,06925009,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (a a h pharmaceuticals ltd),methotrexate,tablet,oral,0,methotrexate
45489,1.81641110000e+16,99229020,378,250mg,08020100,June 2011,18260001,antiproliferative immunosuppressants,myfenax 250mg capsules (teva uk ltd),mycophenolate mofetil,capsule,oral,0,mycophenolate
47471,1.93773110000e+16,00114021,411,25mg,08020200/10010302/13050300,July 2012,18715001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsorin 25mg capsules (morningside healthcare ltd),ciclosporin,capsule,oral,0,ciclosporin
68643,1.20807110000e+16,30687020,6,35mg/1ml,01050300/08020100/10010302,January 2017,30687020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 175mg/5ml oral suspension,azathioprine,oral suspension,oral,0,azathioprine
13556,172611000001109,52332020,3168,100mg,08020200/10010302/13050300,February 2009,01049001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,sandimmun 100mg capsules (novartis pharmaceuticals uk ltd),ciclosporin,capsule,oral,0,ciclosporin
32101,744711000001104,48821020,51,25mg,01050300/08020100/10010302,February 2009,00202010,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 25mg tablets (a a h pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
51181,8308111000001107,19176020,1,12mg/1ml,01050300/08020100/10010302,January 2013,19176020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 60mg/5ml oral solution,azathioprine,oral solution,oral,0,azathioprine
59538,2.22221110000e+16,14812021,0,10mg,01050300/08010300/10010302/13050300,April 2014,14812021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (teva uk ltd),methotrexate,tablet,oral,0,methotrexate
2837,327085000,69118020,51947,50mg,08020200/10010302/13050300,February 2009,05406001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 50mg capsules,ciclosporin,capsule,oral,0,ciclosporin
42637,1.63065110000e+16,97772020,199,25mg,08020200/10010302/13050300,June 2010,17517001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,deximune 25mg capsules (dexcel-pharma ltd),ciclosporin,capsule,oral,0,ciclosporin
42448,1.63067110000e+16,97774020,449,50mg,08020200/10010302/13050300,May 2010,17518001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,deximune 50mg capsules (dexcel-pharma ltd),ciclosporin,capsule,oral,0,ciclosporin
16879,4897811000001103,57791020,4988,200mg/1ml,08020100,February 2009,02442001,antiproliferative immunosuppressants,mycophenolate mofetil 1g/5ml oral suspension sugar free,mycophenolate mofetil,oral suspension,gastroenteral/oral,0,mycophenolate
13320,9.24550010000e+16,59746020,487,10mg,01050300/08020100,February 2009,02963002,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,azathioprine 10mg tablets,azathioprine,tablets,oral,0,azathioprine
53255,1.87289110000e+16,07488020,7,250mg,08020100,January 2013,07488020,antiproliferative immunosuppressants,mycophenolate mofetil 250mg capsules (sigma pharmaceuticals plc),mycophenolate mofetil,capsule,oral,0,mycophenolate
77558,136411000001105,07339020,0,10mg,01050300/08010300/10010302/13050300,August 2019,07339020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (alliance healthcare (distribution) ltd),methotrexate,tablet,oral,0,methotrexate
29518,,!1571502,0,,00000000,February 2009,!1571502,unknown,cyclosporin 250mg/5ml,,,,0,ciclosporin
58885,1.51094110000e+16,07341020,0,10mg,01050300/08010300/10010302/13050300,February 2014,07341020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (sigma pharmaceuticals plc),methotrexate,tablet,oral,0,methotrexate
47047,1.93771110000e+16,00116021,634,50mg,08020200/10010302/13050300,April 2012,18716001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capsorin 50mg capsules (morningside healthcare ltd),ciclosporin,capsule,oral,0,ciclosporin
30495,7.52850010000e+16,57634020,41,10mg,01050300/08020100,February 2009,02404003,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,imuran 10mg tablet (wellcome medical division),azathioprine,tablet,oral,0,azathioprine
35518,8308411000001102,92301020,1490,10mg/1ml,01050300/08020100/10010302,February 2009,14747001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg/5ml oral suspension,azathioprine,oral suspension,oral,0,azathioprine
67421,8282011000001100,19034020,32,20mg/1ml,01050300/08020100/10010302,September 2016,19034020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 100mg/5ml oral suspension,azathioprine,oral suspension,oral,0,azathioprine
31215,863111000001105,63298020,34,50mg,01050300/08020100/10010302,February 2009,03800009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (kent pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
60979,2.41360110000e+16,23121021,2,2.5mg,01050300/08010300/10010302/13050300,August 2014,23121021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (morningside healthcare ltd),methotrexate,tablet,oral,0,methotrexate
46637,1.76669110000e+16,99168020,407,25mg,08020200/10010302/13050300,January 2012,18228001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capimune 25mg capsules (generics (uk) ltd),ciclosporin,capsule,oral,0,ciclosporin
53869,8283811000001103,19068020,2,4mg/1ml,01050300/08020100/10010302,February 2013,19068020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 20mg/5ml oral solution,azathioprine,oral solution,oral,0,azathioprine
59006,338311000001105,07426020,0,25mg,01050300/08020100/10010302,March 2014,07426020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 25mg tablets (kent pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
15556,1.56415001000e+17,05309007,152,,00000000,February 2009,05309007,unknown,azathioprine 125 mg tab,,,,0,azathioprine
16137,303511000001103,79479020,7847,10mg,08020200/10010302/13050300,February 2009,08626002,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 10mg capsules (novartis pharmaceuticals uk ltd),ciclosporin,capsule,oral,0,ciclosporin
54982,8283911000001108,19070020,73,4mg/1ml,01050300/08020100/10010302,May 2013,19070020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 20mg/5ml oral suspension,azathioprine,oral suspension,oral,0,azathioprine
26097,8077011000001100,88334020,5151,360mg,08020100,February 2009,12742001,antiproliferative immunosuppressants,mycophenolic acid 360mg gastro-resistant tablets,mycophenolate sodium,gastro-resistant tablet,oral,0,mycophenolate
42988,675711000001108,98325020,26904,50mg,01050300/08020100/10010302,July 2010,17796001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,imuran 50mg tablets (aspen pharma trading ltd),azathioprine,tablet,oral,0,azathioprine
52488,1.98674110000e+16,39317020,1,250mg,08020100,January 2013,39317020,antiproliferative immunosuppressants,cellcept 250mg capsules (lexon (uk) ltd),mycophenolate mofetil,capsule,oral,0,mycophenolate
75556,1.84642110000e+16,07485020,6,250mg,08020100,April 2019,07485020,antiproliferative immunosuppressants,mycophenolate mofetil 250mg capsules (accord healthcare ltd),mycophenolate mofetil,capsule,oral,0,mycophenolate
58303,1.49625110000e+16,07338020,0,2.5mg,01050300/08010300/10010302/13050300,December 2013,07338020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (orion pharma (uk) ltd),methotrexate,tablet,oral,0,methotrexate
42449,1.63069110000e+16,97776020,494,100mg,08020200/10010302/13050300,May 2010,17519001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,deximune 100mg capsules (dexcel-pharma ltd),ciclosporin,capsule,oral,0,ciclosporin
79370,4.37350010000e+16,53507020,12,25mg,01050300/08020100,December 2019,01359010,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,azathioprine 25mg tablet (berk pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
55116,2.18357110000e+16,46808020,7,25mg,08020200/10010302/13050300,May 2013,46808020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 25mg capsules (cubic pharmaceuticals ltd),ciclosporin,capsule,oral,0,ciclosporin
27579,,!4492110,0,,00000000,February 2009,!4492110,unknown,methotrexate,,,,0,methotrexate
21732,4881311000001100,51132020,456,200mg/1ml,08020100,February 2009,00752001,antiproliferative immunosuppressants,cellcept 1g/5ml oral suspension (roche products ltd),mycophenolate mofetil,oral suspension,gastroenteral/oral,0,mycophenolate
39115,8791311000001100,95803020,142,10mg,01050300/08020100/10010302,April 2009,16514001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 10mg capsules,azathioprine,capsule,oral,0,azathioprine
49951,2.03106110000e+16,40579020,0,2.5mg,01050300/08010300/10010302/13050300,January 2013,40579020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (sandoz ltd),methotrexate,tablet,oral,0,methotrexate
4231,319211000001101,74678020,126628,50mg,08020200/10010302/13050300,February 2009,07010002,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 50mg capsules (novartis pharmaceuticals uk ltd),ciclosporin,capsule,oral,0,ciclosporin
75063,8282111000001104,19036020,1,2mg/1ml,01050300/08020100/10010302,February 2019,19036020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 10mg/5ml oral solution,azathioprine,oral solution,oral,0,azathioprine
29069,1.85085001000e+17,73155020,0,500mg/vial,01050300/08010300,February 2009,06576001,products affecting the immune response in chronic bowel problems/antimetabolites,methotrexate 500mg/vial sterile powder,methotrexate sodium,sterile powder,,0,methotrexate
3920,347811000001104,55046020,2219,25mg,08020200/10010302/13050300,February 2009,01761003,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,sandimmun 25mg capsules (novartis pharmaceuticals uk ltd),ciclosporin,capsule,oral,0,ciclosporin
36849,8665011000001105,93912020,481,2mg/1ml,01050300/08010300/10010302/13050300,February 2009,15560001,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg/5ml oral suspension,methotrexate,oral suspension,oral,0,methotrexate
41585,3.47150010000e+16,52306020,170,2.5mg,01050300/08010300,March 2010,01041011,products affecting the immune response in chronic bowel problems/antimetabolites,methotrexate sodium 2.5mg tablet (wyeth pharmaceuticals),methotrexate,tablet,oral,0,methotrexate
47377,2.03095001000e+17,77095020,3,25mg,01050300/08020200,June 2012,07753009,products affecting the immune response in chronic bowel problems/corticosteroids and other immunosuppressants,ciclosporin 25mg capsule (hillcross pharmaceuticals ltd),ciclosporin,capsule,oral,0,ciclosporin
770,2.11115001000e+17,79631020,1121,,01050300/08020100,February 2009,08690001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,azathioprine capsules,azathioprine,capsules,oral,0,azathioprine
27290,8077511000001108,88336020,1805,180mg,08020100,February 2009,12743001,antiproliferative immunosuppressants,myfortic 180mg gastro-resistant tablets (novartis pharmaceuticals uk ltd),mycophenolate sodium,gastro-resistant tablet,oral,0,mycophenolate
79193,2.43165001000e+17,91261020,3,,01050300/08010300,December 2019,14223001,products affecting the immune response in chronic bowel problems/antimetabolites,methotrexate oral solution,methotrexate,oral solution,,0,methotrexate
51120,706911000001103,07335020,0,2.5mg,01050300/08010300/10010302/13050300,January 2013,07335020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (alliance healthcare (distribution) ltd),methotrexate,tablet,oral,0,methotrexate
59249,2.26044110000e+16,16771021,8,50mg,08020200/10010302/13050300,March 2014,16771021,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 50mg capsules (colorama pharmaceuticals ltd),ciclosporin,capsule,oral,0,ciclosporin
27656,,!1571501,1,,00000000,February 2009,!1571501,unknown,cyclosporin,,,,0,ciclosporin
80938,1.22117110000e+16,31302020,9,7.5microgram/1ml,01050300/08020100/10010302,June 2020,31302020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 37.5mg/5ml oral solution,azathioprine,oral solution,oral,0,azathioprine
64858,2.83374110000e+16,43099021,64,50mg,08020200/10010302/13050300,December 2015,43099021,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,vanquoral 50mg capsules (teva uk ltd),ciclosporin,capsule,oral,0,ciclosporin
57174,2.17965110000e+16,47527020,0,10mg,01050300/08010300/10010302/13050300,September 2013,47527020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (waymade healthcare plc),methotrexate,tablet,oral,0,methotrexate
43077,284711000001102,98323020,8944,25mg,01050300/08020100/10010302,August 2010,17795001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,imuran 25mg tablets (aspen pharma trading ltd),azathioprine,tablet,oral,0,azathioprine
