prodcode,dmdcode,gemscriptcode,therapyevents,strength,bnfchapter,v12,v13,bnftext,productname,ingredient,formulation,routeofadministration,injection,sys_rx
3896,327083007,61709020,72846,100mg,08020200/10010302/13050300,February 2009,03418003,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 100mg capsules,ciclosporin,capsule,oral,0,ciclosporin
74350,3.48094110000e+16,78556021,277,360mg,08020100,January 2019,78556021,antiproliferative immunosuppressants,ceptava 360mg gastro-resistant tablets (sandoz ltd),mycophenolate sodium,gastro-resistant tablet,oral,0,mycophenolate
36800,8664911000001105,93914020,278,2mg/1ml,01050300/08010300/10010302/13050300,February 2009,15561001,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg/5ml oral solution,methotrexate,oral solution,oral,0,methotrexate
58530,1.87301110000e+16,07499020,6,500mg,08020100,January 2014,07499020,antiproliferative immunosuppressants,mycophenolate mofetil 500mg tablets (sigma pharmaceuticals plc),mycophenolate mofetil,tablet,oral,0,mycophenolate
78297,1.49639110000e+16,07340020,0,10mg,01050300/08010300/10010302/13050300,November 2019,07340020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (orion pharma (uk) ltd),methotrexate,tablet,oral,0,methotrexate
47789,1.81669110000e+16,99223020,4,250mg,08020100,September 2012,18257001,antiproliferative immunosuppressants,arzip 250mg capsules (zentiva),mycophenolate mofetil,capsule,oral,0,mycophenolate
22982,8308511000001103,89785020,2324,10mg/1ml,01050300/08020100/10010302,February 2009,13480001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg/5ml oral solution,azathioprine,oral solution,oral,0,azathioprine
27289,8077811000001106,88338020,7454,360mg,08020100,February 2009,12744001,antiproliferative immunosuppressants,myfortic 360mg gastro-resistant tablets (novartis pharmaceuticals uk ltd),mycophenolate sodium,gastro-resistant tablet,oral,0,mycophenolate
823,326874007,64502020,2709099,2.5mg,01050300/08010300/10010302/13050300,February 2009,04130001,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets,methotrexate,tablet,oral,0,methotrexate
1899,7.52750010000e+16,57633020,31445,50mg,01050300/08020100,February 2009,02404002,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,imuran 50mg tablet (wellcome medical division),azathioprine,tablet,oral,0,azathioprine
65584,3.07999110000e+16,60185021,208,,01050300/08010300/10010302/13050300,March 2016,60185021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2mg/ml oral solution sugar free,,,,0,methotrexate
43562,339911000001103,56840020,9,50mg,01050300/08020100/10010302,September 2010,02214009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (actavis uk ltd),azathioprine,tablet,oral,0,azathioprine
80765,3.57252110000e+16,81757021,0,500mg,08020100,May 2020,81757021,antiproliferative immunosuppressants,mycophenolate mofetil 500mg tablets (tillomed laboratories ltd),mycophenolate mofetil,tablet,oral,0,mycophenolate
12339,9.50650010000e+16,60183020,147,50mg,01050300/08020100,February 2009,03066001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,azamune 50mg tablet (penn pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
79321,2.99981110000e+16,53600021,0,50mg,01050300/08020100/10010302,December 2019,53600021,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (mawdsley-brooks & company ltd),azathioprine,tablet,oral,0,azathioprine
3918,1.56405001000e+17,05308007,439,,00000000,February 2009,05308007,unknown,azathioprine 10 mg tab,,,,0,azathioprine
75012,4.37250010000e+16,53506020,147,50mg,01050300/08020100,February 2019,01359009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,azathioprine 50mg tablet (berk pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
4438,327104000,81062020,65887,250mg,08020100,February 2009,09362001,antiproliferative immunosuppressants,mycophenolate mofetil 250mg capsules,mycophenolate mofetil,capsule,oral,0,mycophenolate
2838,327082002,61708020,53790,25mg,08020200/10010302/13050300,February 2009,03418002,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 25mg capsules,ciclosporin,capsule,oral,0,ciclosporin
54975,2.18353110000e+16,46809020,14,100mg,08020200/10010302/13050300,May 2013,46809020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 100mg capsules (cubic pharmaceuticals ltd),ciclosporin,capsule,oral,0,ciclosporin
72045,2.41357110000e+16,23122021,0,10mg,01050300/08010300/10010302/13050300,April 2018,23122021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (morningside healthcare ltd),methotrexate,tablet,oral,0,methotrexate
78093,3.48710110000e+16,78895021,3,,01050300/08010300/10010302/13050300,October 2019,78895021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,jylamvo 2mg/ml oral solution (intrapharm laboratories ltd),,,,0,
57272,1.30004110000e+16,33382020,1,25mg/1ml,08020100,September 2013,33382020,antiproliferative immunosuppressants,mycophenolate mofetil 125mg/5ml oral suspension,mycophenolate mofetil,oral suspension,oral,0,mycophenolate
15596,638611000001108,52333020,1015,50mg,08020200/10010302/13050300,February 2009,01049002,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,sandimmun 50mg capsules (novartis pharmaceuticals uk ltd),ciclosporin,capsule,oral,0,ciclosporin
79194,2.43814110000e+16,23753021,0,10mg,01050300/08010300/10010302/13050300,December 2019,23753021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (de pharmaceuticals),methotrexate,tablet,oral,0,methotrexate
65339,2.66580110000e+16,29725021,1,50mg,01050300/08020100/10010302,January 2016,29725021,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azapress 50mg tablets (ennogen pharma ltd),azathioprine,tablet,oral,0,azathioprine
57593,5347711000001106,07489020,2,500mg,08020100,October 2013,07489020,antiproliferative immunosuppressants,cellcept 500mg tablets (waymade healthcare plc),mycophenolate mofetil,tablet,oral,0,mycophenolate
1905,3490411000001109,79478020,10509,100mg/1ml,08020200/10010302/13050300,February 2009,08626001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 100mg/ml oral solution (novartis pharmaceuticals uk ltd),ciclosporin,oral solution,oral,0,ciclosporin
973,456811000001107,74679020,116626,100mg,08020200/10010302/13050300,February 2009,07010003,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 100mg capsules (novartis pharmaceuticals uk ltd),ciclosporin,capsule,oral,0,ciclosporin
45393,1.81667110000e+16,99225020,8,500mg,08020100,May 2011,18258001,antiproliferative immunosuppressants,arzip 500mg tablets (zentiva),mycophenolate mofetil,tablet,oral,0,mycophenolate
78916,3.73464110000e+16,87822021,0,100mg,08020200/10010302/13050300,December 2019,87822021,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 100mg capsules (cst pharma ltd),ciclosporin,capsule,oral,0,ciclosporin
54974,2.18355110000e+16,46810020,23,50mg,08020200/10010302/13050300,May 2013,46810020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 50mg capsules (cubic pharmaceuticals ltd),ciclosporin,capsule,oral,0,ciclosporin
54317,2.03120110000e+16,40585020,0,250mg,08020100,March 2013,40585020,antiproliferative immunosuppressants,mycophenolate mofetil 250mg capsules (sandoz ltd),mycophenolate mofetil,capsule,oral,0,mycophenolate
54134,2.12635110000e+16,44423020,19,100mg,08020200/10010302/13050300,March 2013,44423020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 100mg capsules (sigma pharmaceuticals plc),ciclosporin,capsule,oral,0,ciclosporin
77940,1.77891110000e+16,07434020,0,25mg,01050300/08020100/10010302,September 2019,07434020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 25mg tablets (phoenix healthcare distribution ltd),azathioprine,tablet,oral,0,azathioprine
34451,843311000001103,60241020,50,50mg,01050300/08020100/10010302,February 2009,03077010,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (generics (uk) ltd),azathioprine,tablet,oral,0,azathioprine
18424,2.00885001000e+17,76401020,4884,2.5mg,01050300/08010300,February 2009,07511002,products affecting the immune response in chronic bowel problems/antimetabolites,methotrexate sodium 2.5mg tablet,methotrexate,tablet,oral,0,methotrexate
70977,1.28140110000e+16,32961020,15,2.4mg/1ml,01050300/08010300/10010302/13050300,December 2017,32961020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 12mg/5ml oral suspension,methotrexate,oral suspension,oral,0,methotrexate
76363,1.30003110000e+16,33380020,3,20mg/1ml,08020100,May 2019,33380020,antiproliferative immunosuppressants,mycophenolate mofetil 100mg/5ml oral suspension,mycophenolate mofetil,oral suspension,oral,0,mycophenolate
66473,2.83359110000e+16,43097021,58,25mg,08020200/10010302/13050300,June 2016,43097021,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,vanquoral 25mg capsules (teva uk ltd),ciclosporin,capsule,oral,0,ciclosporin
66003,2.99978110000e+16,53601021,0,25mg,01050300/08020100/10010302,April 2016,53601021,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 25mg tablets (mawdsley-brooks & company ltd),azathioprine,tablet,oral,0,azathioprine
34929,191111000001100,60982020,155,10mg,01050300/08010300/10010302/13050300,February 2009,03247010,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (hospira uk ltd),methotrexate,tablet,oral,0,methotrexate
1626,3.61393110000e+16,61707020,13857,,08020200/10010302/13050300,February 2009,03418001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 100mg/ml oral solution sugar free,,,,0,ciclosporin
35301,8076911000001104,88332020,1796,180mg,08020100,February 2009,12741001,antiproliferative immunosuppressants,mycophenolic acid 180mg gastro-resistant tablets,mycophenolate sodium,gastro-resistant tablet,oral,0,mycophenolate
41104,1.10264110000e+16,74124020,4,2.5mg,01050300/08010300/10010302/13050300,January 2010,06845009,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (wockhardt uk ltd),methotrexate,tablet,oral,0,methotrexate
17206,1.62585001000e+17,05582007,89,,00000000,February 2009,05582007,unknown,azathioprine 50 mg sus,,,,0,azathioprine
64857,2.83389110000e+16,43098021,81,100mg,08020200/10010302/13050300,December 2015,43098021,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,vanquoral 100mg capsules (teva uk ltd),ciclosporin,capsule,oral,0,ciclosporin
21899,318611000001108,74880020,2102,50mg,08020100,February 2009,07069001,antiproliferative immunosuppressants,immunoprin 50mg tablets (ashbourne pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
28041,8665211000001100,91259020,124,2.5mg/1ml,01050300/08010300/10010302/13050300,February 2009,14222001,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 12.5mg/5ml oral suspension,methotrexate,oral suspension,oral,0,methotrexate
73434,3.05951110000e+16,60186021,0,,01050300/08010300/10010302/13050300,October 2018,60186021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2mg/ml oral solution sugar free (rosemont pharmaceuticals ltd),,,,0,methotrexate
76367,3.49566110000e+16,78984021,0,2.5mg,01050300/08010300/10010302/13050300,May 2019,78984021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (almus pharmaceuticals ltd),methotrexate,tablet,oral,0,methotrexate
16035,327090002,69119020,1546,10mg,08020200/10010302/13050300,February 2009,05406002,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 10mg capsules,ciclosporin,capsule,oral,0,ciclosporin
52743,2.12631110000e+16,44422020,18,25mg,08020200/10010302/13050300,January 2013,44422020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 25mg capsules (sigma pharmaceuticals plc),ciclosporin,capsule,oral,0,ciclosporin
66785,2.99346110000e+16,52782021,6,10mg,08020200/10010302/13050300,July 2016,52782021,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,vanquoral 10mg capsules (teva uk ltd),ciclosporin,capsule,oral,0,ciclosporin
68955,2.03108110000e+16,40580020,0,10mg,01050300/08010300/10010302/13050300,March 2017,40580020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (sandoz ltd),methotrexate,tablet,oral,0,methotrexate
53385,1.49467110000e+16,07337020,0,2.5mg,01050300/08010300/10010302/13050300,January 2013,07337020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (waymade healthcare plc),methotrexate,tablet,oral,0,methotrexate
80733,1.20970110000e+16,30871020,1,40mg/1ml,01050300/08020100/10010302,May 2020,30871020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 200mg/5ml oral solution,azathioprine,oral solution,oral,0,azathioprine
53176,2.01645110000e+16,39875020,2,50mg,08020200/10010302/13050300,January 2013,39875020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 50mg capsules (de pharmaceuticals),ciclosporin,capsule,oral,0,ciclosporin
972,660811000001100,74677020,117889,25mg,08020200/10010302/13050300,February 2009,07010001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,neoral 25mg capsules (novartis pharmaceuticals uk ltd),ciclosporin,capsule,oral,0,ciclosporin
77123,1.20972110000e+16,30875020,1,7mg/1ml,01050300/08020100/10010302,July 2019,30875020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 35mg/5ml oral solution,azathioprine,oral solution,oral,0,azathioprine
73814,2.26152110000e+16,16767021,0,50mg,01050300/08020100/10010302,November 2018,16767021,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (de pharmaceuticals),azathioprine,tablet,oral,0,azathioprine
13494,3490711000001103,55044020,1867,100mg/1ml,08020200/10010302/13050300,February 2009,01761001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,sandimmun 100mg/ml oral solution (novartis pharmaceuticals uk ltd),ciclosporin,oral solution,oral,0,ciclosporin
79422,1.10266110000e+16,74127020,0,10mg,01050300/08010300/10010302/13050300,December 2019,06846009,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets (wockhardt uk ltd),methotrexate,tablet,oral,0,methotrexate
48763,1.78566110000e+16,07440020,666,25mg,08020200/10010302/13050300,January 2013,07440020,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 25mg capsules (phoenix healthcare distribution ltd),ciclosporin,capsule,oral,0,ciclosporin
62051,2.39365110000e+16,21820021,0,25mg,08020200/10010302/13050300,January 2015,21820021,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 25mg capsules (niche pharma ltd),ciclosporin,capsule,oral,0,ciclosporin
4230,327106003,81063020,199962,500mg,08020100,February 2009,09362002,antiproliferative immunosuppressants,mycophenolate mofetil 500mg tablets,mycophenolate mofetil,tablet,oral,0,mycophenolate
52606,1.47092110000e+16,07336020,0,2.5mg,01050300/08010300/10010302/13050300,January 2013,07336020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (sigma pharmaceuticals plc),methotrexate,tablet,oral,0,methotrexate
8776,1.71285001000e+17,05921007,693,,00000000,February 2009,05921007,unknown,azathioprine 100 mg tab,,,,0,azathioprine
877,326875008,64503020,314115,10mg,01050300/08010300/10010302/13050300,February 2009,04130002,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 10mg tablets,methotrexate,tablet,oral,0,methotrexate
62833,2.43816110000e+16,23752021,0,2.5mg,01050300/08010300/10010302/13050300,April 2015,23752021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (de pharmaceuticals),methotrexate,tablet,oral,0,methotrexate
78478,8283011000001109,19054020,1,30mg/1ml,01050300/08020100/10010302,November 2019,19054020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 150mg/5ml oral suspension,azathioprine,oral suspension,oral,0,azathioprine
35752,8666111000001100,92601020,179,1.5mg/1ml,01050300/08010300/10010302/13050300,February 2009,14899001,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 7.5mg/5ml oral suspension,methotrexate,oral suspension,oral,0,methotrexate
60231,1.83104110000e+16,77987020,5,250mg,08020100,June 2014,08054009,antiproliferative immunosuppressants,mycophenolate mofetil 250mg capsules (a a h pharmaceuticals ltd),mycophenolate mofetil,capsule,oral,0,mycophenolate
71049,2.18426110000e+16,46811020,0,250mg,08020100,December 2017,46811020,antiproliferative immunosuppressants,mycophenolate mofetil 250mg capsules (cubic pharmaceuticals ltd),mycophenolate mofetil,capsule,oral,0,mycophenolate
55773,8282211000001105,19038020,19,2mg/1ml,01050300/08020100/10010302,June 2013,19038020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 10mg/5ml oral suspension,azathioprine,oral suspension,oral,0,azathioprine
1901,1.44515001000e+17,04846007,236,,00000000,February 2009,04846007,unknown,imuran 10 mg tab,,,,0,azathioprine
20951,683611000001105,62982020,831,2.5mg,01050300/08010300/10010302/13050300,February 2009,03720009,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (amco),methotrexate,tablet,oral,0,methotrexate
16919,3659911000001102,81058020,10857,250mg,08020100,February 2009,09361001,antiproliferative immunosuppressants,cellcept 250mg capsules (roche products ltd),mycophenolate mofetil,capsule,oral,0,mycophenolate
52921,1.20805110000e+16,30683020,86,25mg/1ml,01050300/08020100/10010302,January 2013,30683020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 125mg/5ml oral suspension,azathioprine,oral suspension,oral,0,azathioprine
13428,644711000001108,64511020,9839,2.5mg,01050300/08010300/10010302/13050300,February 2009,04132001,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,maxtrex 2.5mg tablets (pfizer ltd),methotrexate,tablet,oral,0,methotrexate
34816,544611000001107,60240020,146,25mg,01050300/08020100/10010302,February 2009,03077009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 25mg tablets (generics (uk) ltd),azathioprine,tablet,oral,0,azathioprine
59723,8666011000001101,20509020,4,1.5mg/1ml,01050300/08010300/10010302/13050300,April 2014,20509020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 7.5mg/5ml oral solution,methotrexate,oral solution,oral,0,methotrexate
68977,1.50704110000e+16,07432020,0,25mg,01050300/08020100/10010302,March 2017,07432020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 25mg tablets (sigma pharmaceuticals plc),azathioprine,tablet,oral,0,azathioprine
58654,428011000001101,66748020,20,50mg,01050300/08020100/10010302,January 2014,04747009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 50mg tablets (sandoz ltd),azathioprine,tablet,oral,0,azathioprine
26261,1.56305001000e+17,68752020,39,50mg,01050300/08020100,February 2009,05302001,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,berkaprine 50mg tablet (rorer pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
41670,6515001000027107,48816020,7,50mg,01050300/08020100,March 2010,00201009,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants,azathioprine 50mg tablet (c p pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
61085,2.17962110000e+16,47526020,1,2.5mg,01050300/08010300/10010302/13050300,September 2014,47526020,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (waymade healthcare plc),methotrexate,tablet,oral,0,methotrexate
46395,1.76658110000e+16,99164020,429,100mg,08020200/10010302/13050300,November 2011,18226001,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,capimune 100mg capsules (generics (uk) ltd),ciclosporin,capsule,oral,0,ciclosporin
65639,2.34282110000e+16,20247021,0,100mg,08020200/10010302/13050300,March 2016,20247021,corticosteroids and other immunosuppressants/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,ciclosporin 100mg capsules (j m mcgill ltd),ciclosporin,capsule,oral,0,ciclosporin
59685,2.22223110000e+16,14811021,2,2.5mg,01050300/08010300/10010302/13050300,April 2014,14811021,products affecting the immune response in chronic bowel problems/antimetabolites/drugs affecting the immune response in rheumatic disease/drugs affecting the immune response for eczema and psoriasis,methotrexate 2.5mg tablets (teva uk ltd),methotrexate,tablet,oral,0,methotrexate
76033,3.48092110000e+16,78555021,30,180mg,08020100,May 2019,78555021,antiproliferative immunosuppressants,ceptava 180mg gastro-resistant tablets (sandoz ltd),mycophenolate sodium,gastro-resistant tablet,oral,0,mycophenolate
50669,2.03122110000e+16,40586020,675,500mg,08020100,January 2013,40586020,antiproliferative immunosuppressants,mycophenolate motefil 500mg tablets (sandoz ltd),mycophenolate mofetil,tablet,oral,0,mycophenolate
63121,611111000001100,07427020,0,25mg,01050300/08020100/10010302,May 2015,07427020,products affecting the immune response in chronic bowel problems/antiproliferative immunosuppressants/drugs affecting the immune response in rheumatic disease,azathioprine 25mg tablets (alliance healthcare (distribution) ltd),azathioprine,tablet,oral,0,azathioprine
53956,1.84975110000e+16,78454020,0,50mg,00000000,May 2019,08219009,unknown,azathioprine 50mg tablets (almus pharmaceuticals ltd),azathioprine,tablet,oral,0,azathioprine
